Country Name,Year,Literacy Rate,,,,,,
Low & middle income,2005,79.30999756,,,,,,
Other small states,2005,79.84999847,,,,,,
"Middle East, North Africa, Afghanistan & Pakistan",2005,66.69000244,,,,,,
"Venezuela, RB",2005,94.37070138,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),2005,90.12999725,,,,,,
"Congo, Rep.",2005,76.11000061,,,,,,
Colombia,2005,92.84999847,,,,,,
Least developed countries: UN classification,2005,55.24000168,,,,,,
Spain,2005,97.75,,,,,,
Thailand,2005,93.51000214,,,,,,
Pakistan,2005,49.86999893,,,,,,
Arab World,2005,71.43000031,,,,,,
Latin America & Caribbean (excluding high income),2005,89.91000366,,,,,,
IDA total,2005,58.90999985,,,,,,
Peru,2005,87.91000366,,,,,,
Europe & Central Asia (IDA & IBRD countries),2005,97.62000275,,,,,,
Low income,2005,54.02000046,,,,,,
IDA blend,2005,60.34999847,,,,,,
IDA & IBRD total,2005,79.58000183,,,,,,
IDA only,2005,58.06999969,,,,,,
South Asia (IDA & IBRD),2005,62.43999863,,,,,,
Middle income,2005,81.08000183,,,,,,
Burkina Faso,2005,23.52000046,,,,,,
Upper middle income,2005,91.54000092,,,,,,
Kuwait,2005,93.26999664,,,,,,
Turkiye,2005,88.23000336,,,,,,
Jordan,2005,91.12999725,,,,,,
Malta,2005,92.36000061,,,,,,
United Arab Emirates,2005,90.02999878,,,,,,
Mexico,2005,91.62999725,,,,,,
North America,2005,98.63999939,,,,,,
Lao PDR,2005,72.69999695,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),2005,58.93999863,,,,,,
Latin America & Caribbean,2005,90.36000061,,,,,,
Niger,2005,28.67000008,,,,,,
Nicaragua,2005,78,,,,,,
Bhutan,2005,52.81000137,,,,,,
"Iran, Islamic Rep.",2005,82.44000244,,,,,,
World,2005,82.56999969,,,,,,
Caribbean small states,2005,89.94999695,,,,,,
Small states,2005,82.59999847,,,,,,
Sub-Saharan Africa,2005,58.93999863,,,,,,
East Asia & Pacific (excluding high income),2005,92.22000122,,,,,,
Europe & Central Asia (excluding high income),2005,95.83999634,,,,,,
Lower middle income,2005,65.90000153,,,,,,
Late-demographic dividend,2005,92.75,,,,,,
Heavily indebted poor countries (HIPC),2005,53.77999878,,,,,,
Sub-Saharan Africa (excluding high income),2005,58.93000031,,,,,,
Africa Western and Central,2005,51.61000061,,,,,,
East Asia & Pacific,2005,92.01999664,,,,,,
South Asia,2005,62.43999863,,,,,,
Fragile and conflict affected situations,2005,63.84999847,,,,,,
IBRD only,2005,84.52999878,,,,,,
Europe & Central Asia,2005,97.19000244,,,,,,
Early-demographic dividend,2005,71.29000092,,,,,,
Africa Eastern and Southern,2005,63.93999863,,,,,,
Pre-demographic dividend,2005,57.68000031,,,,,,
"Egypt, Arab Rep.",2005,67.33000183,,,,,,
East Asia & Pacific (IDA & IBRD countries),2005,92.12000275,,,,,,
Mali,2006,26.18000031,,,,,,
Europe & Central Asia,2006,97.25,,,,,,
North America,2006,98.66000366,,,,,,
South Asia,2006,62.52999878,,,,,,
Middle income,2006,81.16999817,,,,,,
India,2006,62.75,,,,,,
Sub-Saharan Africa (excluding high income),2006,58.02999878,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),2006,58.02999878,,,,,,
Burkina Faso,2006,22.46999931,,,,,,
Low & middle income,2006,79.25,,,,,,
Kuwait,2006,93.27999878,,,,,,
"Egypt, Arab Rep.",2006,66.37000275,,,,,,
Fragile and conflict affected situations,2006,62.63000107,,,,,,
"Iran, Islamic Rep.",2006,82.33000183,,,,,,
Turkiye,2006,88.12000275,,,,,,
El Salvador,2006,83.55999756,,,,,,
Brazil,2006,89.62000275,,,,,,
Senegal,2006,41.88999939,,,,,,
Spain,2006,97.75,,,,,,
Algeria,2006,72.65000153,,,,,,
IDA only,2006,55.83000183,,,,,,
South Asia (IDA & IBRD),2006,62.52999878,,,,,,
East Asia & Pacific (excluding high income),2006,92.56999969,,,,,,
IDA & IBRD total,2006,79.51999664,,,,,,
Pre-demographic dividend,2006,56.5,,,,,,
East Asia & Pacific (IDA & IBRD countries),2006,92.48000336,,,,,,
Europe & Central Asia (IDA & IBRD countries),2006,97.56999969,,,,,,
Peru,2006,88.69999695,,,,,,
IBRD only,2006,84.81999969,,,,,,
IDA total,2006,57.65999985,,,,,,
Caribbean small states,2006,90.15000153,,,,,,
Early-demographic dividend,2006,71.30000305,,,,,,
Pakistan,2006,54.15000153,,,,,,
Togo,2006,56.88999939,,,,,,
Small states,2006,82.31999969,,,,,,
IDA blend,2006,61.04000092,,,,,,
Colombia,2006,92.30000305,,,,,,
East Asia & Pacific,2006,92.37000275,,,,,,
Heavily indebted poor countries (HIPC),2006,52.11999893,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),2006,90.34999847,,,,,,
Other small states,2006,79.41999817,,,,,,
West Bank and Gaza,2006,93.44999695,,,,,,
Sub-Saharan Africa,2006,58.02999878,,,,,,
Europe & Central Asia (excluding high income),2006,95.73000336,,,,,,
Tonga,2006,99.01999664,,,,,,
Nigeria,2006,70.19999695,,,,,,
Latin America & Caribbean (excluding high income),2006,90.05999756,,,,,,
Indonesia,2006,91.98000336,,,,,,
Uganda,2006,71.37000275,,,,,,
Least developed countries: UN classification,2006,52.68999863,,,,,,
World,2006,82.52999878,,,,,,
"Middle East, North Africa, Afghanistan & Pakistan",2006,66.26999664,,,,,,
Mexico,2006,91.73000336,,,,,,
Low income,2006,52.16999817,,,,,,
"Macao SAR, China",2006,93.5,,,,,,
Maldives,2006,98.40000153,,,,,,
Upper middle income,2006,91.83999634,,,,,,
Africa Western and Central,2006,52.29999924,,,,,,
Latin America & Caribbean,2006,90.56999969,,,,,,
"Venezuela, RB",2006,94.6620702,,,,,,
Uruguay,2006,97.79000092,,,,,,
Lesotho,2006,66.09999847,,,,,,
Sri Lanka,2006,90.80999756,,,,,,
Late-demographic dividend,2006,93.04000092,,,,,,
Africa Eastern and Southern,2006,61.95000076,,,,,,
Arab World,2006,69.20999908,,,,,,
Lower middle income,2006,65.86000061,,,,,,
IBRD only,2007,85.69999695,,,,,,
East Asia & Pacific (IDA & IBRD countries),2007,93.69999695,,,,,,
Early-demographic dividend,2007,72.27999878,,,,,,
Timor-Leste,2007,50.59999847,,,,,,
Africa Western and Central,2007,50.29999924,,,,,,
Heavily indebted poor countries (HIPC),2007,53.52000046,,,,,,
Small states,2007,82.83999634,,,,,,
South Asia (IDA & IBRD),2007,63.38000107,,,,,,
East Asia & Pacific,2007,93.51000214,,,,,,
Late-demographic dividend,2007,94.04000092,,,,,,
Latin America & Caribbean,2007,91.41000366,,,,,,
North America,2007,98.66999817,,,,,,
IDA only,2007,56.90999985,,,,,,
"Middle East, North Africa, Afghanistan & Pakistan",2007,67.05000305,,,,,,
Pre-demographic dividend,2007,55.36000061,,,,,,
Cameroon,2007,70.68000031,,,,,,
Cayman Islands,2007,98.87000275,,,,,,
IDA total,2007,57.84999847,,,,,,
Dominican Republic,2007,88.23999786,,,,,,
Latin America & Caribbean (excluding high income),2007,90.88999939,,,,,,
Peru,2007,89.58999634,,,,,,
Europe & Central Asia (IDA & IBRD countries),2007,97.65000153,,,,,,
Pakistan,2007,52.13999939,,,,,,
Arab World,2007,70.04000092,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),2007,91.20999908,,,,,,
IDA & IBRD total,2007,80.22000122,,,,,,
IDA blend,2007,59.58000183,,,,,,
World,2007,83.12000275,,,,,,
Colombia,2007,92.65000153,,,,,,
"Venezuela, RB",2007,95.15000153,,,,,,
East Asia & Pacific (excluding high income),2007,93.77999878,,,,,,
Tajikistan,2007,98.02930575,,,,,,
Low income,2007,53.38999939,,,,,,
Other small states,2007,80,,,,,,
Least developed countries: UN classification,2007,53.65999985,,,,,,
Paraguay,2007,94.55999756,,,,,,
Uruguay,2007,97.86000061,,,,,,
Lebanon,2007,89.61000061,,,,,,
Europe & Central Asia,2007,97.33000183,,,,,,
South Asia,2007,63.38000107,,,,,,
Tunisia,2007,77.19000244,,,,,,
Jordan,2007,92.19999695,,,,,,
Sub-Saharan Africa (excluding high income),2007,57.83000183,,,,,,
Low & middle income,2007,79.94999695,,,,,,
Fragile and conflict affected situations,2007,62.25999832,,,,,,
Upper middle income,2007,92.84999847,,,,,,
Mexico,2007,92.80000305,,,,,,
Turkiye,2007,88.66000366,,,,,,
Ecuador,2007,92.09999847,,,,,,
Middle income,2007,81.87000275,,,,,,
Ethiopia,2007,39,,,,,,
Kuwait,2007,93.66000366,,,,,,
El Salvador,2007,82.02999878,,,,,,
Burkina Faso,2007,27.87999916,,,,,,
Africa Eastern and Southern,2007,62.97000122,,,,,,
Spain,2007,97.94000244,,,,,,
Lower middle income,2007,66.37000275,,,,,,
Bolivia,2007,90.29000092,,,,,,
Caribbean small states,2007,90.75,,,,,,
Brazil,2007,90.01000214,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),2007,57.83000183,,,,,,
Honduras,2007,83.58999634,,,,,,
South Africa,2007,88.72000122,,,,,,
West Bank and Gaza,2007,93.76000214,,,,,,
Azerbaijan,2007,99.58999634,,,,,,
Qatar,2007,93.08000183,,,,,,
Sub-Saharan Africa,2007,57.83000183,,,,,,
Europe & Central Asia (excluding high income),2007,95.90000153,,,,,,
Philippines,2008,95.41999817,,,,,,
Lower middle income,2008,67.02999878,,,,,,
Sub-Saharan Africa,2008,58.16999817,,,,,,
Ecuador,2008,92.38999939,,,,,,
Sudan,2008,53.52000046,,,,,,
IDA & IBRD total,2008,80.63999939,,,,,,
El Salvador,2008,83.94999695,,,,,,
Caribbean small states,2008,91.01999664,,,,,,
West Bank and Gaza,2008,94.01000214,,,,,,
Morocco,2008,55.15000153,,,,,,
Africa Eastern and Southern,2008,63.22999954,,,,,,
Albania,2008,95.94000244,,,,,,
Europe & Central Asia (IDA & IBRD countries),2008,97.75,,,,,,
Spain,2008,97.62999725,,,,,,
East Asia & Pacific,2008,93.81999969,,,,,,
Early-demographic dividend,2008,73.12999725,,,,,,
World,2008,83.48000336,,,,,,
Late-demographic dividend,2008,94.26000214,,,,,,
Qatar,2008,93.98999786,,,,,,
South Sudan,2008,26.82999992,,,,,,
Suriname,2008,94.62000275,,,,,,
IBRD only,2008,86.16999817,,,,,,
Low income,2008,54.25,,,,,,
Pre-demographic dividend,2008,55.63999939,,,,,,
Sub-Saharan Africa (excluding high income),2008,58.15999985,,,,,,
East Asia & Pacific (IDA & IBRD countries),2008,94.01000214,,,,,,
"Korea, Dem. People's Rep.",2008,100,,,,,,
Europe & Central Asia,2008,97.44999695,,,,,,
Paraguay,2008,93.29000092,,,,,,
Heavily indebted poor countries (HIPC),2008,53.81999969,,,,,,
Europe & Central Asia (excluding high income),2008,96.01999664,,,,,,
South Asia,2008,64.20999908,,,,,,
East Asia & Pacific (excluding high income),2008,94.08000183,,,,,,
Small states,2008,83.43000031,,,,,,
Fragile and conflict affected situations,2008,62.65999985,,,,,,
Africa Western and Central,2008,50.75,,,,,,
Sri Lanka,2008,90.55999756,,,,,,
Algeria,2008,75.13999939,,,,,,
Low & middle income,2008,80.37999725,,,,,,
Eritrea,2008,64.66000366,,,,,,
Latin America & the Caribbean (IDA & IBRD countries),2008,91.52999878,,,,,,
Colombia,2008,93.37999725,,,,,,
Tunisia,2008,77.70999908,,,,,,
Mexico,2008,92.93000031,,,,,,
Other small states,2008,80.79000092,,,,,,
"Middle East, North Africa, Afghanistan & Pakistan",2008,68.58999634,,,,,,
Bolivia,2008,90.69999695,,,,,,
Indonesia,2008,92.19000244,,,,,,
Cambodia,2008,76.87000275,,,,,,
Oman,2008,86.62000275,,,,,,
"Iran, Islamic Rep.",2008,82.95999908,,,,,,
Sub-Saharan Africa (IDA & IBRD countries),2008,58.16999817,,,,,,
Brazil,2008,90.04000092,,,,,,
IDA only,2008,57.27999878,,,,,,
Latin America & Caribbean,2008,91.70999908,,,,,,
North America,2008,98.69000244,,,,,,
South Asia (IDA & IBRD),2008,64.20999908,,,,,,
